Source,Target,Type,Id,Label,timeset,Weight
2507,2289,Directed,20944,,,1
1776,2074,Directed,20945,,,1
635,2102,Directed,20946,,,1
2187,766,Directed,20947,,,1
1221,861,Directed,20948,,,1
1225,1093,Directed,20949,,,1
1773,1580,Directed,20950,,,1
2151,2059,Directed,20951,,,1
1492,1078,Directed,20952,,,1
1701,2527,Directed,20953,,,1
1875,2348,Directed,20954,,,1
2504,2515,Directed,20955,,,1
2200,1791,Directed,20956,,,1
2390,2427,Directed,20957,,,1
2385,2239,Directed,20958,,,1
1995,2148,Directed,20959,,,1
1525,1626,Directed,20960,,,1
2058,1090,Directed,20961,,,1
1120,2467,Directed,20962,,,1
1105,1061,Directed,20963,,,1
1701,1839,Directed,20964,,,1
1496,2232,Directed,20965,,,1
1023,1502,Directed,20966,,,1
2107,1704,Directed,20967,,,1
2360,1158,Directed,20968,,,1
1877,2000,Directed,20969,,,1
2142,1961,Directed,20970,,,1
2173,1935,Directed,20971,,,1
1311,2539,Directed,20972,,,1
1742,2435,Directed,20973,,,1
1345,1166,Directed,20974,,,1
2549,1213,Directed,20975,,,1
1631,1101,Directed,20976,,,1
1897,1650,Directed,20977,,,1
2435,1968,Directed,20978,,,1
1297,1574,Directed,20979,,,1
1776,990,Directed,20980,,,1
2007,1863,Directed,20981,,,1
2134,2124,Directed,20982,,,1
1250,921,Directed,20983,,,1
1430,1287,Directed,20984,,,1
991,681,Directed,20985,,,1
816,2108,Directed,20986,,,1
1336,1271,Directed,20987,,,1
1940,2548,Directed,20988,,,1
1490,2280,Directed,20989,,,1
836,2535,Directed,20990,,,1
698,2135,Directed,20991,,,1
1276,1005,Directed,20992,,,1
807,1023,Directed,20993,,,1
1185,1037,Directed,20994,,,1
1670,711,Directed,20995,,,1
1653,1046,Directed,20996,,,1
850,2007,Directed,20997,,,1
1979,1022,Directed,20998,,,1
2151,2065,Directed,20999,,,1
843,858,Directed,21000,,,1
2205,2295,Directed,21001,,,1
2339,1210,Directed,21002,,,1
1500,2445,Directed,21003,,,1
2518,964,Directed,21004,,,1
1719,800,Directed,21005,,,1
973,1731,Directed,21006,,,1
1271,2220,Directed,21007,,,1
1308,1422,Directed,21008,,,1
1071,1259,Directed,21009,,,1
1007,1396,Directed,21010,,,1
1501,1075,Directed,21011,,,1
2377,1422,Directed,21012,,,1
779,986,Directed,21013,,,1
1907,2287,Directed,21014,,,1
1732,2027,Directed,21015,,,1
1744,1589,Directed,21016,,,1
1381,848,Directed,21017,,,1
2390,2257,Directed,21018,,,1
2354,2280,Directed,21019,,,1
1077,1775,Directed,21020,,,1
1431,1394,Directed,21021,,,1
2509,2116,Directed,21022,,,1
1904,1087,Directed,21023,,,1
2333,706,Directed,21024,,,1
1095,1058,Directed,21025,,,1
2427,1657,Directed,21026,,,1
2419,2021,Directed,21027,,,1
1544,1842,Directed,21028,,,1
950,922,Directed,21029,,,1
1046,2494,Directed,21030,,,1
1693,1109,Directed,21031,,,1
1387,872,Directed,21032,,,1
2277,1624,Directed,21033,,,1
829,2430,Directed,21034,,,1
1068,808,Directed,21035,,,1
1432,1213,Directed,21036,,,1
1941,1321,Directed,21037,,,1
878,1877,Directed,21038,,,1
1830,2256,Directed,21039,,,1
1628,865,Directed,21040,,,1
2152,2479,Directed,21041,,,1
2374,2171,Directed,21042,,,1
1386,2523,Directed,21043,,,1
2189,728,Directed,21044,,,1
2306,2236,Directed,21045,,,1
1013,959,Directed,21046,,,1
2489,2470,Directed,21047,,,1
1433,1493,Directed,21048,,,1
2167,953,Directed,21049,,,1
1443,858,Directed,21050,,,1
1197,928,Directed,21051,,,1
1468,1252,Directed,21052,,,1
921,2426,Directed,21053,,,1
1422,863,Directed,21054,,,1
1386,1931,Directed,21055,,,1
1532,2529,Directed,21056,,,1
1309,2475,Directed,21057,,,1
1090,2088,Directed,21058,,,1
1318,2366,Directed,21059,,,1
1377,1270,Directed,21060,,,1
2250,1603,Directed,21061,,,1
2175,1340,Directed,21062,,,1
1721,981,Directed,21063,,,1
1646,1749,Directed,21064,,,1
2125,2149,Directed,21065,,,1
2294,2412,Directed,21066,,,1
1098,2511,Directed,21067,,,1
1490,706,Directed,21068,,,1
1711,1425,Directed,21069,,,1
648,1224,Directed,21070,,,1
869,1006,Directed,21071,,,1
2460,2382,Directed,21072,,,1
1393,1799,Directed,21073,,,1
1567,1542,Directed,21074,,,1
891,1219,Directed,21075,,,1
978,2287,Directed,21076,,,1
1953,1958,Directed,21077,,,1
1137,746,Directed,21078,,,1
938,1685,Directed,21079,,,1
2178,2112,Directed,21080,,,1
1063,1187,Directed,21081,,,1
1233,2399,Directed,21082,,,1
1013,2213,Directed,21083,,,1
2182,2375,Directed,21084,,,1
933,734,Directed,21085,,,1
1741,2516,Directed,21086,,,1
1211,911,Directed,21087,,,1
860,715,Directed,21088,,,1
2549,2379,Directed,21089,,,1
854,1948,Directed,21090,,,1
1663,829,Directed,21091,,,1
704,1386,Directed,21092,,,1
2455,2138,Directed,21093,,,1
