Talk1,Talk2
885,1797
2050,2326
901,2228
255,1619
608,1396
1307,1008
1646,1837
28,1394
1068,1912
2381,872
1378,1843
1091,657
346,1094
1452,558
349,19
100,1532
1663,876
1733,2400
1252,2188
1076,959
1995,917
681,1371
582,831
2425,1799
160,2273
1989,1486
531,735
109,1053
2369,1936
999,1568
2305,2320
1807,1691
730,1623
2058,1091
1407,73
179,125
2092,1366
2268,420
777,1930
1122,1837
1034,954
943,689
233,2481
944,934
1724,968
2127,2526
1149,1014
270,536
996,2479
1126,1343
1023,1962
2344,2000
820,1122
1775,129
1287,151
1284,1708
2472,39
2234,944
1702,1959
1554,715
934,391
290,1602
364,1938
487,467
2508,1004
1361,1203
2538,1597
1305,894
375,581
44,2490
434,1529
724,2335
2360,2244
2224,1191
853,2255
4,710
1196,1097
0,1697
1467,1520
1896,1667
2142,1750
1705,1503
190,442
941,938
789,2303
203,1577
2357,936
69,79
1173,2529
780,2181
2045,2215
615,2382
548,130
1746,2401
1162,1881
2188,1402
849,1845
1844,1433
2093,2184
1671,1104
1075,1620
180,2393
2486,2506
2282,2295
353,1483
899,436
1724,2182
1314,455
242,2463
2194,1567
1132,1702
2004,1178
1069,2323
2383,1913
1532,894
183,129
830,79
1070,923
1485,1229
2540,1614
1604,1205
2136,1190
2042,2435
344,350
1801,1354
334,1727
283,381
828,1791
2294,1966
589,1072
600,1963
2348,843
2120,1476
1494,1563
692,384
1435,992
1446,1213
763,725
1100,630
1753,16
2102,1979
1520,2004
1784,689
1386,647
148,2032
1799,410
2005,57
1662,644
1520,458
821,991
339,549
1772,843
2376,1816
2080,2180
2373,641
2530,854
2131,1276
2366,606
1100,1390
180,1468
415,105
2260,1946
189,1340
788,1308
979,521
1666,2326
741,2118
1424,958
1805,1893
1875,1115
1076,2072
1612,825
440,702
947,0
1606,1265
2074,1611
1936,1680
852,2089
2295,591
121,1733
1778,1818
1636,1849
222,123
1264,1887
2336,757
2281,568
659,1481
609,2533
1556,325
2466,514
493,655
1316,2121
2338,391
2086,1338
444,277
1794,2308
1077,577
524,2007
1681,759
76,647
2433,2525
802,796
1281,2220
2242,1062
1960,514
1400,1366
1224,2306
2394,2395
2308,1598
2492,1984
1767,1629
317,1431
1259,2515
994,1435
140,614
989,1072
765,402
1911,2271
2516,1929
2515,1821
671,2382
1651,511
1927,1528
1740,867
1580,1680
979,1009
2205,1139
1728,1916
1557,327
967,1411
176,1147
868,468
988,250
252,694
2057,1654
511,1751
571,1077
383,2085
1012,1201
280,2448
658,1669
1656,2053
1950,2357
95,659
1453,1459
1863,1413
166,1394
1745,39
679,1149
858,1642
929,1160
585,713
147,668
231,134
1323,163
591,2264
189,1523
278,755
1399,1240
1773,2254
836,1351
644,1102
427,708
1661,934
2157,2186
1201,285
884,1849
2105,1336
2006,2182
1281,1806
1939,2142
225,2195
2366,39
840,416
1093,2488
1218,1609
1551,2007
973,1367
336,17
2302,1827
2086,877
1490,1535
1195,1432
2239,1583
254,1413
2500,2427
2039,746
1720,1986
1695,2208
43,2267
2131,1308
1808,489
2142,1939
1847,1733
1725,2528
370,778
1035,386
1267,1334
237,1152
87,1766
836,2438
2179,1841
821,327
1386,1337
2093,1738
979,2094
1023,665
1403,2023
2115,1030
552,2183
826,1911
199,1072
861,1063
2339,2067
2110,1365
1761,683
705,1359
1235,1705
747,2135
541,181
2340,703
1571,2498
1563,1701
1086,215
2404,1137
912,1305
2000,178
1644,1266
629,1022
1395,948
402,718
1241,1631
2025,2004
1159,2447
1410,1176
2025,458
1430,2461
928,1964
42,243
1226,1623
934,1632
733,1922
1789,1787
2360,108
2331,199
980,1986
261,965
1830,2039
629,739
17,2242
354,576
1348,462
63,1272
2484,1829
1991,2080
1001,2108
1874,1767
2538,1616
714,768
674,1899
1260,1255
1344,971
2511,2085
642,487
309,1450
1699,1151
789,1930
1966,389
46,1245
2499,1756
2086,555
259,529
931,775
1470,1979
797,664
2084,2376
2314,2022
1463,21
1877,1302
135,2363
1654,1302
187,1819
